Rozmiar tablicy	Procent posortowania	Czas [ms]
100	-100	0.000797
100	0	0.002503
100	25	0.002407
100	50	0.002336
100	75	0.002281
100	95	0.001798
100	99	0.001542
100	99.7	0.0015
500	-100	0.005995
500	0	0.015759
500	25	0.015299
500	50	0.014448
500	75	0.012639
500	95	0.013502
500	99	0.018361
500	99.7	0.017377
1000	-100	0.01422
1000	0	0.034526
1000	25	0.033766
1000	50	0.031573
1000	75	0.028006
1000	95	0.032136
1000	99	0.04791
1000	99.7	0.042867
5000	-100	0.108592
5000	0	0.213644
5000	25	0.208558
5000	50	0.19213
5000	75	0.1626
5000	95	0.191282
5000	99	0.275767
5000	99.7	0.289005
10000	-100	0.24499
10000	0	0.453949
10000	25	0.439967
10000	50	0.403891
10000	75	0.351918
10000	95	0.408358
10000	99	0.59965
10000	99.7	0.617488
50000	-100	1.60336
50000	0	2.60681
50000	25	2.52899
50000	50	2.28107
50000	75	1.9616
50000	95	2.59068
50000	99	3.41083
50000	99.7	3.64395
100000	-100	3.26287
100000	0	5.44986
100000	25	5.19496
100000	50	4.70641
100000	75	4.00096
100000	95	5.47522
100000	99	7.21061
100000	99.7	7.74313
500000	-100	14.8028
500000	0	29.4434
500000	25	27.7345
500000	50	24.5133
500000	75	20.35
500000	95	26.1123
500000	99	38.8597
500000	99.7	43.1411
1000000	-100	28.8953
1000000	0	60.062
1000000	25	56.8872
1000000	50	50.098
1000000	75	41.2234
1000000	95	55.0428
1000000	99	80.8371
1000000	99.7	87.497
