Rozmiar tablicy	Procent posortowania	Czas [ms]
100	-100	0.001464
100	0	0.003687
100	25	0.003264
100	50	0.00275
100	75	0.002124
100	95	0.00164
100	99	0.001483
100	99.7	0.001469
500	-100	0.008561
500	0	0.022235
500	25	0.019651
500	50	0.016184
500	75	0.012094
500	95	0.008956
500	99	0.008245
500	99.7	0.008097
1000	-100	0.017565
1000	0	0.049891
1000	25	0.043123
1000	50	0.0356
1000	75	0.025785
1000	95	0.018958
1000	99	0.017734
1000	99.7	0.017529
5000	-100	0.112799
5000	0	0.297444
5000	25	0.260782
5000	50	0.212292
5000	75	0.156094
5000	95	0.115234
5000	99	0.107945
5000	99.7	0.106645
10000	-100	0.233258
10000	0	0.630501
10000	25	0.615788
10000	50	0.452856
10000	75	0.329992
10000	95	0.241153
10000	99	0.224697
10000	99.7	0.217777
50000	-100	1.43338
50000	0	3.62709
50000	25	3.08042
50000	50	2.48695
50000	75	1.80083
50000	95	1.31247
50000	99	1.21945
50000	99.7	1.20548
100000	-100	3.02665
100000	0	7.71176
100000	25	6.61973
100000	50	5.19784
100000	75	3.80055
100000	95	2.7306
100000	99	2.51704
100000	99.7	2.49195
500000	-100	15.683
500000	0	43.2133
500000	25	36.0307
500000	50	28.3002
500000	75	21.0694
500000	95	15.0837
500000	99	13.9036
500000	99.7	13.7446
1000000	-100	31.565
1000000	0	87.232
1000000	25	72.9218
1000000	50	58.5858
1000000	75	43.5446
1000000	95	31.4253
1000000	99	29.0706
1000000	99.7	28.8263
