Rozmiar tablicy	Procent posortowania	Czas [ms]
100	-100	0.000737
100	0	0.002559
100	25	0.002509
100	50	0.002416
100	75	0.002063
100	95	0.001387
100	99	0.001354
100	99.7	0.001327
500	-100	0.006047
500	0	0.016108
500	25	0.015635
500	50	0.014707
500	75	0.012541
500	95	0.011663
500	99	0.018848
500	99.7	0.021445
1000	-100	0.013984
1000	0	0.03531
1000	25	0.034292
1000	50	0.031822
1000	75	0.027555
1000	95	0.027907
1000	99	0.046366
1000	99.7	0.074324
5000	-100	0.102864
5000	0	0.214216
5000	25	0.226439
5000	50	0.195907
5000	75	0.180105
5000	95	0.179833
5000	99	0.401448
5000	99.7	0.953824
10000	-100	0.244268
10000	0	0.476905
10000	25	0.451202
10000	50	0.418253
10000	75	0.357217
10000	95	0.410104
10000	99	0.806918
10000	99.7	2.16994
50000	-100	1.54926
50000	0	2.65422
50000	25	2.7346
50000	50	2.31859
50000	75	1.9783
50000	95	2.30722
50000	99	4.60847
50000	99.7	12.4912
100000	-100	3.22573
100000	0	5.5226
100000	25	5.27882
100000	50	4.70554
100000	75	3.99957
100000	95	4.93715
100000	99	9.9985
100000	99.7	26.5922
500000	-100	15.1807
500000	0	28.4692
500000	25	27.1051
500000	50	24.0798
500000	75	19.9221
500000	95	25.8987
500000	99	54.8246
500000	99.7	145.775
1000000	-100	35.5995
1000000	0	62.9571
1000000	25	59.7592
1000000	50	52.9668
1000000	75	45.9543
1000000	95	54.2174
1000000	99	106.206
1000000	99.7	309.116
